NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Sponsor,Sponsor Type,Disease,category
NCT03375320,Unknown,ACTIVE_NOT_RECRUITING,2018-10-26,"Carcinoid Tumor, Functioning Pancreatic Neuroendocrine Tumor, Intermediate Grade Lung Neuroendocrine Neoplasm, Locally Advanced Digestive System Neuroendocrine Neoplasm, Locally Advanced Digestive System Neuroendocrine Tumor G1, Locally Advanced Lung Neuroendocrine Neoplasm, Locally Advanced Pancreatic Neuroendocrine Tumor, Locally Advanced Unresectable Digestive System Neuroendocrine Neoplasm, Low Grade Lung Neuroendocrine Neoplasm, Lung Neuroendocrine Tumor, Lung Neuroendocrine Tumor G2, Metastatic Digestive System Neuroendocrine Neoplasm, Metastatic Digestive System Neuroendocrine Tumor G1, Metastatic Lung Neuroendocrine Neoplasm, Metastatic Lung Neuroendocrine Tumor, Metastatic Pancreatic Neuroendocrine Neoplasm, Metastatic Pancreatic Neuroendocrine Tumor, Metastatic Thymus Neuroendocrine Neoplasm, Neuroendocrine Neoplasm, Neuroendocrine Tumor G2, Non-Functioning Pancreatic Neuroendocrine Tumor, Pancreatic Serotonin-Producing Neuroendocrine Tumor, Thymus Neuroendocrine Tumor, Unresectable Digestive System Neuroendocrine Neoplasm, Unresectable Digestive System Neuroendocrine Tumor G1, Unresectable Lung Neuroendocrine Neoplasm, Unresectable Pancreatic Neuroendocrine Neoplasm, Unresectable Thymus Neuroendocrine Neoplasm","Biospecimen Collection, Cabozantinib S-malate, Computed Tomography, Magnetic Resonance Imaging, Placebo Administration, Quality-of-Life Assessment, X-Ray Imaging","Anchorage - United States, Kingman - United States, Phoenix - United States, Tucson - United States, Tucson - United States, Little Rock - United States, Antioch - United States, Arroyo Grande - United States, Auburn - United States, Berkeley - United States, Burlingame - United States, Duarte - United States, Dublin - United States, Emeryville - United States, Fremont - United States, Fremont - United States, Fresno - United States, Martinez - United States, Marysville - United States, Modesto - United States, Modesto - United States, Mountain View - United States, Oakland - United States, Oakland - United States, Palo Alto - United States, Palo Alto - United States, Redwood City - United States, Richmond - United States, Roseville - United States, Roseville - United States, Sacramento - United States, Sacramento - United States, Sacramento - United States, Sacramento - United States, Salinas - United States, San Francisco - United States, San Francisco - United States, San Francisco - United States, San Jose - United States, San Leandro - United States, San Mateo - United States, San Rafael - United States, San Rafael - United States, Santa Clara - United States, Santa Cruz - United States, Santa Rosa - United States, South San Francisco - United States, Stockton - United States, Sunnyvale - United States, Vacaville - United States, Vallejo - United States, Vallejo - United States, Walnut Creek - United States, Aurora - United States, Boulder - United States, Colorado Springs - United States, Denver - United States, Denver - United States, Denver - United States, Denver - United States, Englewood - United States, Englewood - United States, Golden - United States, Grand Junction - United States, Greeley - United States, Lafayette - United States, Littleton - United States, Lone Tree - United States, Loveland - United States, Thornton - United States, Wheat Ridge - United States, Danbury - United States, Norwalk - United States, Washington - United States, Aventura - United States, Aventura - United States, Boca Raton - United States, Fort Myers - United States, Hollywood - United States, Jacksonville - United States, Tampa - United States, Atlanta - United States, Atlanta - United States, Atlanta - United States, 'Aiea - United States, 'Aiea - United States, Honolulu - United States, Honolulu - United States, Honolulu - United States, Honolulu - United States, Honolulu - United States, Honolulu - United States, Boise - United States, Boise - United States, Caldwell - United States, Coeur d'Alene - United States, Emmett - United States, Fruitland - United States, Meridian - United States, Meridian - United States, Nampa - United States, Nampa - United States, Post Falls - United States, Sandpoint - United States, Twin Falls - United States, Bloomington - United States, Canton - United States, Carthage - United States, Chicago - United States, Chicago - United States, Danville - United States, Decatur - United States, Dixon - United States, Effingham - United States, Effingham - United States, Eureka - United States, Galesburg - United States, Kewanee - United States, Macomb - United States, Mattoon - United States, Maywood - United States, New Lenox - United States, O'Fallon - United States, Orland Park - United States, Ottawa - United States, Pekin - United States, Peoria - United States, Peru - United States, Princeton - United States, Springfield - United States, Springfield - United States, Urbana - United States, Washington - United States, South Bend - United States, Bettendorf - United States, Cedar Rapids - United States, Cedar Rapids - United States, Clive - United States, Clive - United States, Council Bluffs - United States, Council Bluffs - United States, Creston - United States, Des Moines - United States, Des Moines - United States, Des Moines - United States, Des Moines - United States, Des Moines - United States, Fort Dodge - United States, Iowa City - United States, West Des Moines - United States, Lexington - United States, Baton Rouge - United States, Baton Rouge - United States, Baton Rouge - United States, Baton Rouge - United States, Baton Rouge - United States, Covington - United States, Houma - United States, Boston - United States, Boston - United States, Boston - United States, Boston - United States, Burlington - United States, Adrian - United States, Ann Arbor - United States, Ann Arbor - United States, Battle Creek - United States, Brighton - United States, Brighton - United States, Canton - United States, Canton - United States, Caro - United States, Chelsea - United States, Chelsea - United States, Clarkston - United States, Clarkston - United States, Clarkston - United States, Detroit - United States, Detroit - United States, Detroit - United States, East China Township - United States, Farmington Hills - United States, Flint - United States, Flint - United States, Flint - United States, Flint - United States, Flint - United States, Flint - United States, Grosse Pointe Woods - United States, Grosse Pointe Woods - United States, Grosse Pointe Woods - United States, Kalamazoo - United States, Kalamazoo - United States, Kalamazoo - United States, Lansing - United States, Lansing - United States, Livonia - United States, Livonia - United States, Macomb - United States, Macomb - United States, Marlette - United States, Monroe - United States, Mount Clemens - United States, Mount Pleasant - United States, Petoskey - United States, Pontiac - United States, Pontiac - United States, Pontiac - United States, Pontiac - United States, Port Huron - United States, Port Huron - United States, Port Huron - United States, Rochester Hills - United States, Saginaw - United States, Saginaw - United States, Sterling Heights - United States, Tawas City - United States, Warren - United States, Warren - United States, Warren - United States, Warren - United States, Warren - United States, West Branch - United States, Ypsilanti - United States, Ypsilanti - United States, Bemidji - United States, Burnsville - United States, Burnsville - United States, Coon Rapids - United States, Deer River - United States, Duluth - United States, Edina - United States, Fridley - United States, Hibbing - United States, Maple Grove - United States, Maplewood - United States, Maplewood - United States, Minneapolis - United States, Minneapolis - United States, Minneapolis - United States, New Ulm - United States, Robbinsdale - United States, Rochester - United States, Saint Louis Park - United States, Saint Paul - United States, Saint Paul - United States, Sandstone - United States, Shakopee - United States, Stillwater - United States, Virginia - United States, Waconia - United States, Willmar - United States, Woodbury - United States, Wyoming - United States, Bonne Terre - United States, Cape Girardeau - United States, Creve Coeur - United States, Farmington - United States, Saint Louis - United States, Saint Louis - United States, Saint Louis - United States, Saint Louis - United States, Saint Peters - United States, Sainte Genevieve - United States, Sullivan - United States, Sunset Hills - United States, Anaconda - United States, Billings - United States, Billings - United States, Bozeman - United States, Butte - United States, Great Falls - United States, Great Falls - United States, Helena - United States, Kalispell - United States, Missoula - United States, Grand Island - United States, Omaha - United States, Omaha - United States, Omaha - United States, Carson City - United States, Henderson - United States, Henderson - United States, Henderson - United States, Henderson - United States, Henderson - United States, Henderson - United States, Henderson - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Las Vegas - United States, Pahrump - United States, Reno - United States, Reno - United States, Reno - United States, Lebanon - United States, Nashua - United States, Basking Ridge - United States, Englewood - United States, Middletown - United States, Montvale - United States, Paramus - United States, Ridgewood - United States, Wayne - United States, Albuquerque - United States, Albuquerque - United States, Albuquerque - United States, Rio Rancho - United States, Auburn - United States, Buffalo - United States, Camillus - United States, Commack - United States, East Syracuse - United States, Harrison - United States, New York - United States, New York - United States, Rochester - United States, Uniondale - United States, Webster - United States, Chapel Hill - United States, Clinton - United States, Goldsboro - United States, Hendersonville - United States, Jacksonville - United States, Kinston - United States, Washington - United States, Bismarck - United States, Fargo - United States, Fargo - United States, Beachwood - United States, Belpre - United States, Centerville - United States, Chillicothe - United States, Cleveland - United States, Columbus - United States, Columbus - United States, Columbus - United States, Columbus - United States, Columbus - United States, Dayton - United States, Dayton - United States, Dayton - United States, Delaware - United States, Franklin - United States, Mansfield - United States, Marietta - United States, Marion - United States, Maumee - United States, Maumee - United States, Mentor - United States, Middleburg Heights - United States, Newark - United States, Parma - United States, Perrysburg - United States, Portsmouth - United States, Toledo - United States, Toledo - United States, Troy - United States, Wadsworth - United States, Westlake - United States, Zanesville - United States, Oklahoma City - United States, Tulsa - United States, Baker City - United States, Clackamas - United States, Newberg - United States, Ontario - United States, Portland - United States, Portland - United States, Allentown - United States, Bethlehem - United States, East Stroudsburg - United States, Erie - United States, Hazleton - United States, Jefferson Hills - United States, Monroeville - United States, Philadelphia - United States, Philadelphia - United States, Philadelphia - United States, Pittsburgh - United States, Pittsburgh - United States, Wexford - United States, Boiling Springs - United States, Easley - United States, Greenville - United States, Greenville - United States, Greenville - United States, Greer - United States, Seneca - United States, Sioux Falls - United States, Sioux Falls - United States, Farmington - United States, Salt Lake City - United States, Salt Lake City - United States, Seattle - United States, Huntington - United States, Morgantown - United States, Appleton - United States, Ashland - United States, Eau Claire - United States, Madison - United States, Marshfield - United States, Minocqua - United States, Mukwonago - United States, New Richmond - United States, Oconomowoc - United States, Rice Lake - United States, Stevens Point - United States, Waukesha - United States, Waukesha - United States, Weston - United States, Cody - United States, Sheridan - United States",2023-08-23,2017-12-18,2025-02-27,INTERVENTIONAL,PHASE3,National Cancer Institute (NCI),NIH,pancreatic_cancer,all_disease_procesed.csv
NCT05216120,Unknown,WITHDRAWN,2022-06-14,Pancreas Cancer,Pemigatinib 4.5 MG,Scottsdale - United States,2024-08-31,2022-01-31,2023-07-03,INTERVENTIONAL,PHASE2,HonorHealth Research Institute,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01266720,Unknown,UNKNOWN,2008-04,Pancreatic Cancer,"VEGFR1, VEGFR2, Gemcitabine",Fukushima - Japan,2010-03,2010-12-24,2010-12-24,INTERVENTIONAL,PHASE1,Fukushima Medical University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04581473,Unknown,RECRUITING,2020-10-23,"Gastric Adenocarcinoma, Pancreatic Cancer, Gastroesophageal Junction Adenocarcinoma","CT041 autologous CAR T-cell injection, Physician's Choice（Paclitaxel or Irinotecan or Apatinib or Anti-PD-1 antibody）","Hefei - China, Beijing - China, Fuzhou - China, Shenzhen - China, Harbin - China, Zhengzhou - China, Zhengzhou - China, Wuhan - China, Nanjing - China, Suzhou - China, Yangzhou - China, Nanchang - China, Changchun - China, Shenyang - China, Jinan - China, Qingdao - China, Shanghai - China, Shanghai - China, Shanghai - China, Chengdu - China, Chengdu - China, Tianjin - China, Hangzhou - China, Hanzhou - China",2024-06-30,2020-10-09,2024-03-06,INTERVENTIONAL,PHASE2,"CARsgen Therapeutics Co., Ltd.",INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT02514031,Unknown,TERMINATED,2016-03-24,Pancreatic Cancer,"ARQ-761, Gemcitabine, nab-paclitaxel","Baltimore - United States, Dallas - United States",2018-05-22,2015-08-03,2022-06-03,INTERVENTIONAL,PHASE1,University of Texas Southwestern Medical Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03820531,Unknown,COMPLETED,2018-01-01,Pancreas Cyst,"Next Generation Sequencing, CEA and lipase, Cytology, Histology of resected pancreas cyst",Mannheim - Germany,2022-12-01,2019-01-29,2022-12-20,INTERVENTIONAL,,Theresienkrankenhaus und St. Hedwig-Klinik GmbH,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT06574373,Unknown,NOT_YET_RECRUITING,2024-10-01,Population of Patients with IPMN And/or Pancreatic Cancer,"Blood Collection Protocol for Patients with Indolent, Invasive, and Pancreatic Cancer-Associated IPMN Based on Clinical Course and Surgical Intervention",Rome - Italy,2026-09,2024-08-27,2024-08-27,INTERVENTIONAL,,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04353973,eReach,RECRUITING,2020-08-17,Cancer,"Pre-Test Intervention, Standard of Care, Post-Test Intervention",Philadelphia - United States,2024-12-31,2020-04-21,2024-07-30,INTERVENTIONAL,,Abramson Cancer Center at Penn Medicine,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00732082,Unknown,TERMINATED,2009-02,Pancreatic Neoplasms,"Gemcitabine, LAG-3",St. Louis - United States,2010-02,2008-08-11,2013-06-12,INTERVENTIONAL,PHASE1,Washington University School of Medicine,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03616431,PanDA,COMPLETED,2018-07-03,"Pancreatic Neoplasm, Pancreas Adenocarcinoma, Well-Differentiated Neuroendocrine Carcinoma, Malignant Neoplasm of Pancreas",Pancreo-KIT breath test,Manchester - United Kingdom,2020-10-30,2018-08-06,2023-08-25,OBSERVATIONAL,Not Available,The Christie NHS Foundation Trust,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03788382,FOUNTAIN,COMPLETED,2019-01-01,Pancreatic Malignant Neoplasm Primary,No interventions listed,Verona - Italy,2024-02-28,2018-12-27,2024-05-07,OBSERVATIONAL,Not Available,Universita di Verona,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00919282,GFF,COMPLETED,1997-09,Metastatic Pancreatic Cancer,"gemcitabine, folinic acid, 5-FU",Berlin - Germany,2000-07,2009-06-12,2009-06-12,INTERVENTIONAL,PHASE2,CONKO-Studiengruppe,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05795920,Unknown,RECRUITING,2023-03-08,Pancreatic Neoplasms,Utidelone injection in combination with gemcitabine,Shanghai - China,2024-07-08,2023-04-03,2023-04-03,INTERVENTIONAL,PHASE2,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03481920,Unknown,TERMINATED,2018-01-10,"Pancreatic Ductal Adenocarcinoma, Pancreatic Cancer","PEGylated Recombinant Human Hyaluronidase (PEGPH20), Avelumab","Fuenlabrada - Spain, Madrid - Spain, Madrid - Spain",2019-01-10,2018-03-29,2019-08-22,INTERVENTIONAL,PHASE1,"PH Research, S.L.",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03060720,Unknown,ACTIVE_NOT_RECRUITING,2017-02-24,Pancreatic Cancer,No interventions listed,Boston - United States,2019-04-07,2017-02-23,2024-03-12,OBSERVATIONAL,Not Available,Dana-Farber Cancer Institute,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03941457,Unknown,UNKNOWN,2019-05,Pancreatic Cancer,BiCAR-NK cells (ROBO1 CAR-NK cells),Shanghai - China,2021-05,2019-05-08,2019-05-08,INTERVENTIONAL,PHASE2,"Asclepius Technology Company Group (Suzhou) Co., Ltd.",INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT00003426,Unknown,COMPLETED,1998-04,Pancreatic Cancer,"gemcitabine hydrochloride, radiation therapy",New York - United States,2002-03,2003-12-02,2013-06-21,INTERVENTIONAL,PHASE1,Memorial Sloan Kettering Cancer Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04602026,RIOT,ACTIVE_NOT_RECRUITING,2020-09-14,"Adult Liver Carcinoma, Gastric Carcinoma, Malignant Solid Neoplasm, Pancreatic Carcinoma","Best Practice, Exercise Intervention, Physical Therapy, Questionnaire Administration",Columbus - United States,2024-12-31,2020-10-26,2024-02-12,INTERVENTIONAL,,Ohio State University Comprehensive Cancer Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01523457,FOLFIRINOX,COMPLETED,2011-10,"Metastatic Pancreatic Cancer, Pancreatic Cancer",Folfirinox,New Haven - United States,2014-12,2012-02-01,2017-08-30,INTERVENTIONAL,PHASE2,Yale University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03316326,Unknown,UNKNOWN,2017-11-01,Pancreatic Ductal Adenocarcinoma,"Tegafur-gimeracil-oteracil potassium, Oxaliplatin, Irinotecan",No locations listed,2021-12-31,2017-10-20,2017-10-20,INTERVENTIONAL,PHASE2,National Taiwan University Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02750657,COMPASS,ACTIVE_NOT_RECRUITING,2015-12,"Carcinoma, Pancreatic Ductal",Molecular Profiling,"Kingston - Canada, Toronto - Canada, Montréal - Canada, Montréal - Canada",2024-12,2016-04-25,2024-03-12,OBSERVATIONAL,Not Available,"University Health Network, Toronto",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT06638866,ESPRIT-AI-2,RECRUITING,2024-08-03,"Pancreatic Cancer, Pancreatic Ductal Adenocarcinoma, Cancer Diagnosis",Pancreatic imaging AI model,Shanghai - China,2029-08-03,2024-10-15,2024-10-21,INTERVENTIONAL,,Changhai Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04400357,PORTAL,UNKNOWN,2020-06-15,"Pancreatic Adenocarcinoma, Pancreatic Cysts, Pancreatic Endocrine Tumors, Chronic Pancreatitis, Cholangiocarcinoma, Extrahepatic, Ampullary Adenocarcinoma, Duodenal Adenocarcinoma","Robotic pancreaticoduodenectomy, Open pancreaticoduodenectomy",Shanghai - China,2022-10-07,2020-05-22,2022-05-03,INTERVENTIONAL,,Ruijin Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04276857,SMART,NOT_YET_RECRUITING,2025-02-01,"Locally Advanced Pancreatic Cancer, Irreversible Electroporation",Irreversible electroporation (NanoKnife® ),No locations listed,2026-12-31,2020-02-19,2024-12-06,INTERVENTIONAL,,University of Saskatchewan,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT06538857,Unknown,RECRUITING,2024-08-09,Pancreatic Carcinoma,"Standard surgery, CEB-01","Barcelona - Spain, Madrid - Spain, Sevilla - Spain, Valencia - Spain",2028-09,2024-08-06,2025-01-22,INTERVENTIONAL,PHASE2,CEBIOTEX,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT06390826,Unknown,ACTIVE_NOT_RECRUITING,2015-08-11,"Advanced Lymphoma, Advanced Malignant Solid Neoplasm, Refractory Lymphoma, Refractory Malignant Solid Neoplasm, Refractory Multiple Myeloma","Biopsy, Biospecimen Collection, Computed Tomography, Echocardiography, Magnetic Resonance Imaging, Radionuclide Imaging, Sunitinib",Philadelphia - United States,2025-03-24,2024-04-30,2024-11-05,INTERVENTIONAL,PHASE2,National Cancer Institute (NCI),NIH,pancreatic_cancer,all_disease_procesed.csv
NCT00253526,Unknown,WITHDRAWN,Unknown Date,"Adenocarcinoma of the Pancreas, Recurrent Pancreatic Cancer, Stage I Pancreatic Cancer, Stage II Pancreatic Cancer, Stage III Pancreatic Cancer","bevacizumab, gemcitabine hydrochloride, adjuvant therapy, anti-cytokine therapy, antiangiogenesis therapy, antibody therapy, biological therapy, chemotherapy, conventional surgery, growth factor antagonist therapy, monoclonal antibody therapy, surgery",No locations listed,Unknown Date,2005-11-15,2015-04-28,INTERVENTIONAL,PHASE2,National Cancer Institute (NCI),NIH,pancreatic_cancer,all_disease_procesed.csv
NCT00005926,Unknown,COMPLETED,2000-06,"Pancreatic Cancer, Pancreatic Neoplasm","Gemcitabine, Herceptin, Radiation therapy",Bethesda - United States,Unknown Date,2002-12-10,2008-03-04,INTERVENTIONAL,PHASE2,National Cancer Institute (NCI),NIH,pancreatic_cancer,all_disease_procesed.csv
NCT04386057,Unknown,COMPLETED,2020-05-27,"Pancreatic Cancer, Advanced Cancer","Hydroxychloroquine Sulfate, LY3214996","Boston - United States, Boston - United States, Boston - United States, Chapel Hill - United States",2023-08-09,2020-05-13,2025-02-12,INTERVENTIONAL,PHASE2,"Kimberly Perez, MD",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03906357,Unknown,NO_LONGER_AVAILABLE,Unknown Date,No conditions listed,Pemigatinib,No locations listed,Unknown Date,2019-04-08,2022-04-19,EXPANDED_ACCESS,Not Available,Incyte Corporation,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT05497531,Unknown,RECRUITING,2022-09-07,"Hepatobiliary Cancer, Pancreatic Cancer, Hepatocellular Carcinoma, Cholangiocarcinoma, Ampullary Cancer, Pancreatic Carcinoma",ctDNA Blood Collection,Orange - United States,2025-06,2022-08-11,2025-01-09,INTERVENTIONAL,,"University of California, Irvine",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05093231,Unknown,NOT_YET_RECRUITING,2024-08-01,Pancreatic Cancer,"Pembrolizumab, Olaparib",No locations listed,2027-07-31,2021-10-26,2024-07-31,INTERVENTIONAL,PHASE2,Cambridge University Hospitals NHS Foundation Trust,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04406831,Unknown,RECRUITING,2015-04,"Pancreatic Cancer Stage III, Pancreatic Cancer Stage IV, Pancreatic Ductal Adenocarcinoma, Pancreatic Neoplasms",Blood draw,Norwalk - United States,2025-04,2020-05-28,2024-04-01,OBSERVATIONAL,Not Available,Nuvance Health,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT06108531,Unknown,ENROLLING_BY_INVITATION,2023-11-01,Pancreatic,No intervention name listed,Shanghai - China,2025-08-01,2023-10-31,2023-10-31,OBSERVATIONAL,Not Available,Shanghai Jiao Tong University School of Medicine,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05961982,ERASE,RECRUITING,2023-04-24,Pancreatic Neoplasm,"Chemical Ablation, Computed Tomography, Electronic Health Record Review, Endoscopic Ultrasound-Guided Fine-Needle Aspiration, Endoscopic Ultrasound-Guided Radiofrequency Ablation, Magnetic Resonance Cholangiopancreatography, Magnetic Resonance Imaging",Columbus - United States,2024-12-31,2023-07-27,2024-06-28,INTERVENTIONAL,,Ohio State University Comprehensive Cancer Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT06496373,Unknown,RECRUITING,2024-04-01,Pancreatic Cancer Recurrent,Personalized tumor preventive vaccines,Shanghai - China,2027-03-01,2024-07-11,2024-07-11,INTERVENTIONAL,PHASE1,Ruijin Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04969731,Unknown,RECRUITING,2021-09-07,Pancreatic Ductal Adenocarcinoma,"Immuncell-LC, Gemcitabine","Seoul - Korea, Republic of",2026-12,2021-07-21,2021-11-22,INTERVENTIONAL,PHASE3,GC Cell Corporation,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
